"nom de l'enseigne";"date de l'export";"code de l'article";"libellé de l'article";"référence de la marque";"code EAN";"nom de la marque";"prix net HT du client dans l'agence";"prix public HT";"total ecocontribution HT";"disponibilité";"unité de vente (par m², ...)";"libellé unité de vente (par m², ...)";"conditionnement (par m², ...)";"libellé conditionnement (par m², ...)";"code nomenclature niv. 1";"libellé nomenclature niv. 1";"code nomenclature niv. 2";"libellé nomenclature niv. 2";"code nomenclature niv. 3";"libellé nomenclature niv. 3";"code nomenclature niv. 4";"libellé nomenclature niv. 4";"code nomenclature niv. 5";"libellé nomenclature niv. 5"
"dispano";"20211005";"7833538";"Contreplaqué tout okoumé Allin Marine âme okoume faces okoume choix II/III collage CL3 certif CTB-X  construction navale 310x153cm 8mm";"PAN1605";"";"SAS ALLIN";"21.14";"26.4";"0";"EN STOCK";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3734699";"Contreplaqué Twin Okoumé Startplak âme peuplier faces Okoumé II/III collage CL1 usage intér. mileu sec 250x122cm 12mm";"12S3B 12 P";"";"JOUBERT PLYWOOD";"18.28";"22.82";"0";"EN STOCK";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1918391";"Contreplaqué tout Okoumé Tebogarant âme Okoumé faces Okoumé II/II collage classe 3 certifié CTBX pour la fabrication de volets format 250x122cm format 30mm";"0425012230001";"";"THEBAULT JEAN";"96.26";"120.17";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"6406213";"Contreplaqué Twin Okoumé Tradition Navy âme Peuplier faces Okoumé II/III collage CL3 certif CTB-X usage ext. et milieu humide 310x153cm 12mm";"241806030100130";"";"GARNICA";"17.97";"22.44";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3734675";"Contreplaqué Twin Okoumé Startplex âme peuplier faces Okoumé II/III collage CL3 certif NF ext. CTBX usage ext. et locaux humides 310x153cm 5 mm";"42T3J 5 P";"";"JOUBERT PLYWOOD";"11.86";"14.02";"0";"EN STOCK";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1893591";"Contreplaqué tout Okoumé Teboply âme Okoumé faces Okoumé II/III collage CL1 usage intér. en milieu sec 310X153cm 5 mm";"0131015305001";"";"THEBAULT JEAN";"9.78";"12.22";"0";"EN STOCK";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"7135417";"Contreplaqué Twin Okoumé Startplex âme peuplier faces Okoumé II/III collage CL3 certif NF ext. CTBX usage ext. et locaux humides 250x122cm 30mm";"42T3B 30 P";"";"JOUBERT PLYWOOD";"53.16";"62.84";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3769677";"Contreplaqué tout Okoumé Tebomarine âme Okoumé constituée de 9 plis faces Okoumé II/III collage CL3 certif CTBX usage dans la construction naval 310x153cm 18mm";"0431015318002";"";"THEBAULT JEAN";"49.78";"58.85";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"6123448";"Contreplaqué Twin Okoumé Tebotwin âme Peuplier faces Okoumé II/III collage CL3 certif CTB-X usage ext. et milieu humide 310x153cm 8mm";"0231015308014";"";"THEBAULT JEAN";"15.35";"19.18";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3734700";"Contreplaqué Twin Okoumé Startplak âme peuplier faces Okoumé II/III collage CL1 usage intér. mileu sec 310x153cm 12mm";"12S3J 12 P";"";"JOUBERT PLYWOOD";"18.63";"23.26";"0";"EN STOCK";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"7833541";"Contreplaqué tout okoumé Allin Marine âme okoume faces okoume choix II/III collage CL3 certif CTB-X  construction navale 310x153cm 15mm";"PAN0503";"";"SAS ALLIN";"36.97";"46.15";"0";"EN STOCK";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"6406187";"Contreplaqué Twin Okoumé Tradition âme Peuplier faces Okoumé II/III collage CL1 usage intér. milieu sec 310x153cm 12mm";"241806010100088";"";"GARNICA";"17.07";"21.31";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1894401";"Contreplaqué tout Okoumé Teboply âme Okoumé faces Okoumé II/III collage CL3 certif CTBX usage ext. et milieu humide 310x153cm 5mm";"0231015305001";"";"THEBAULT JEAN";"11.88";"14.84";"0";"EN STOCK";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"6406214";"Contreplaqué Twin Okoumé Tradition Navy âme Peuplier faces Okoumé II/III collage CL3 certif CTB-X usage ext. et milieu humide 310x153cm 15 mm";"241806030100112";"";"GARNICA";"19.38";"24.19";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"6406206";"Contreplaqué Twin Okoumé Tradition Navy âme Peuplier faces Okoumé II/III collage CL3 certif CTB-X usage ext. et milieu humide 250x122cm 40mm";"241806030100164";"";"GARNICA";"65.56";"81.85";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"7135416";"Contreplaqué Twin Okoumé Startplex âme peuplier faces Okoumé II/III collage CL3 certif NF ext. CTBX usage ext. et locaux humides 250x122cm 25mm";"42T3B 25 P";"";"JOUBERT PLYWOOD";"45.30";"56.56";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
